date,precipitation,temp_max,temp_min,wind,weather,Season
2015-01-09,0.3,10.0,3.3,0.6,rain,Winter
2015-01-10,5.8,7.8,6.1,0.5,rain,Winter
2015-01-11,1.5,9.4,7.2,1.1,rain,Winter
2015-01-12,0.0,11.1,4.4,1.6,fog,Winter
2015-01-13,0.0,9.4,2.8,2.7,fog,Winter
2015-01-14,0.0,6.1,0.6,2.8,fog,Winter
2015-01-15,9.7,7.8,1.1,3.2,rain,Winter
2015-01-16,0.0,11.7,5.6,4.5,fog,Winter
2015-01-17,26.2,13.3,3.3,2.8,rain,Winter
2015-01-18,21.3,13.9,7.2,6.6,rain,Winter
2015-01-19,0.5,10.0,6.1,2.8,rain,Winter
2015-01-20,0.0,10.0,3.3,3.0,fog,Winter
2015-01-21,0.0,7.2,-0.5,1.3,fog,Winter
2015-01-22,0.8,9.4,6.1,1.3,rain,Winter
2015-01-23,5.8,12.2,8.3,2.6,rain,Winter
2015-01-24,0.5,14.4,11.1,3.3,rain,Winter
2015-01-25,0.0,17.2,7.2,1.4,fog,Winter
2015-01-26,0.0,16.1,6.1,2.2,fog,Winter
2015-01-27,0.8,11.1,8.3,2.0,rain,Winter
2015-01-28,0.0,12.2,5.0,1.8,fog,Winter
2015-01-29,0.0,12.2,3.3,2.9,sun,Winter
2015-01-30,0.0,8.3,1.1,0.8,fog,Winter
2015-01-31,0.0,7.2,3.3,1.9,fog,Winter
2015-02-01,1.5,9.4,4.4,2.6,rain,Winter
2015-02-02,7.4,11.1,5.0,4.0,rain,Winter
2015-02-03,1.3,10.0,5.6,1.9,rain,Winter
2015-02-04,8.4,10.6,4.4,1.7,rain,Winter
2015-02-05,26.2,13.3,8.3,4.6,rain,Winter
2015-02-06,17.3,14.4,10.0,4.5,rain,Winter
2015-02-07,23.6,12.2,9.4,4.6,rain,Winter
2015-02-08,3.6,15.0,8.3,3.9,rain,Winter
2015-02-09,6.1,13.3,8.3,2.5,rain,Winter
2015-02-10,0.3,12.8,8.3,4.0,rain,Winter
2015-02-11,0.0,12.8,5.6,1.0,fog,Winter
2015-02-12,1.0,16.7,9.4,2.1,rain,Winter
2015-02-13,0.0,15.6,6.7,1.7,fog,Winter
2015-02-14,0.3,14.4,6.7,2.9,rain,Winter
2015-02-15,0.0,12.2,3.9,4.8,sun,Winter
2015-02-16,0.0,15.0,5.6,6.6,fog,Winter
2015-02-17,0.0,16.1,4.4,4.0,sun,Winter
2015-02-18,0.0,12.2,4.4,2.6,sun,Winter
2015-02-19,4.6,10.6,8.3,2.2,rain,Winter
2015-02-20,0.8,11.1,7.2,0.9,rain,Winter
2015-02-21,0.0,12.2,5.6,4.5,sun,Winter
2015-02-22,0.0,11.7,3.3,4.2,sun,Winter
2015-02-23,0.0,12.8,0.6,1.4,sun,Winter
2015-02-24,0.0,11.1,2.2,1.5,sun,Winter
2015-02-25,4.1,10.0,6.7,1.0,rain,Winter
2015-02-26,9.4,11.7,7.8,1.4,rain,Winter
2015-02-27,18.3,10.0,6.7,4.0,rain,Winter
2015-02-28,0.0,12.2,3.3,5.1,sun,Winter
2015-03-01,0.0,11.1,1.1,2.2,sun,Fall
2015-03-02,0.0,11.1,4.4,4.8,sun,Fall
2015-03-03,0.0,10.6,0.0,2.1,sun,Fall
2015-03-04,0.0,12.8,-0.5,1.8,sun,Fall
2015-03-05,0.0,13.3,2.8,1.3,sun,Fall
2015-03-06,0.0,15.0,3.3,1.4,sun,Fall
2015-03-07,0.0,16.7,3.9,2.7,fog,Fall
2015-03-08,0.0,17.2,3.9,1.7,fog,Fall
2015-03-09,0.0,14.4,4.4,1.8,fog,Fall
2015-03-10,0.8,13.3,5.0,2.6,rain,Fall
2015-03-11,2.5,14.4,8.9,3.1,rain,Fall
2015-03-12,0.0,17.8,9.4,3.2,sun,Fall
2015-03-13,2.0,17.2,7.8,2.2,rain,Fall
2015-03-14,17.0,13.9,9.4,3.8,rain,Fall
2015-03-15,55.9,10.6,6.1,4.2,rain,Fall
2015-03-16,1.0,13.9,6.1,3.0,rain,Fall
2015-03-17,0.8,13.3,4.4,2.6,rain,Fall
2015-03-18,0.0,15.6,7.2,2.5,sun,Fall
2015-03-19,0.0,15.6,8.3,1.9,sun,Fall
2015-03-20,4.1,13.9,8.9,1.9,rain,Fall
2015-03-21,3.8,13.3,8.3,4.7,rain,Fall
2015-03-22,1.0,11.7,6.1,2.3,rain,Fall
2015-03-23,8.1,11.1,5.6,2.8,rain,Fall
2015-03-24,7.6,12.8,6.1,3.9,rain,Fall
2015-03-25,5.1,14.4,7.2,4.4,rain,Fall
2015-03-26,0.0,20.6,10.0,2.2,sun,Fall
2015-03-27,1.0,18.3,8.9,4.0,rain,Fall
2015-03-28,0.0,15.6,9.4,5.7,sun,Fall
2015-03-29,0.0,15.6,8.9,3.0,sun,Fall
2015-03-30,1.8,17.8,10.6,2.9,rain,Fall
2015-03-31,1.0,12.8,6.1,4.2,rain,Fall
2015-04-01,5.1,12.8,5.6,3.2,rain,Fall
2015-04-02,0.0,13.3,5.6,2.4,sun,Fall
2015-04-03,1.5,11.1,5.0,3.6,rain,Fall
2015-04-04,0.0,12.8,3.9,1.7,sun,Fall
2015-04-05,0.0,16.7,2.8,2.4,sun,Fall
2015-04-06,1.0,13.9,6.7,3.5,rain,Fall
2015-04-07,0.5,14.4,6.7,3.9,rain,Fall
2015-04-08,0.0,17.2,6.1,1.7,sun,Fall
2015-04-09,0.0,17.2,6.1,2.3,sun,Fall
2015-04-10,10.9,13.9,7.8,4.6,rain,Fall
2015-04-11,0.0,11.7,5.6,6.5,sun,Fall
2015-04-12,0.0,13.3,5.6,3.6,sun,Fall
2015-04-13,14.0,11.7,3.9,3.6,rain,Fall
2015-04-14,3.3,11.7,2.8,3.3,rain,Fall
2015-04-15,0.0,13.9,3.3,2.4,sun,Fall
2015-04-16,0.0,17.8,3.9,3.1,sun,Fall
2015-04-17,0.0,18.9,6.1,3.6,sun,Fall
2015-04-18,0.0,18.9,8.3,3.9,sun,Fall
2015-04-19,0.0,21.1,8.3,3.6,sun,Fall
2015-04-20,0.0,22.8,7.8,2.6,sun,Fall
2015-04-21,5.6,17.2,6.7,3.4,rain,Fall
2015-04-22,0.0,15.6,5.0,2.3,sun,Fall
2015-04-23,3.0,12.2,6.7,4.1,rain,Fall
2015-04-24,3.3,12.2,6.1,5.0,rain,Fall
2015-04-25,1.3,13.3,5.6,3.0,rain,Fall
2015-04-26,0.0,15.6,4.4,2.7,fog,Fall
2015-04-27,0.3,25.0,10.6,2.3,rain,Fall
2015-04-28,1.8,15.6,8.9,4.3,rain,Fall
2015-04-29,0.0,16.1,7.2,4.7,sun,Fall
2015-04-30,0.0,17.2,7.8,2.1,sun,Fall
2015-05-01,0.0,18.3,8.9,3.7,sun,Fall
2015-05-02,0.0,18.3,7.8,3.7,sun,Fall
2015-05-03,0.0,20.6,7.8,2.6,sun,Fall
2015-05-04,0.0,17.2,7.2,5.2,sun,Fall
2015-05-05,6.1,14.4,7.2,5.1,rain,Fall
2015-05-06,0.0,16.7,7.2,2.6,fog,Fall
2015-05-07,0.0,20.6,6.1,3.0,sun,Fall
2015-05-08,0.0,23.9,8.3,3.0,sun,Fall
2015-05-09,0.0,26.7,9.4,2.6,sun,Fall
2015-05-10,0.0,19.4,11.1,2.8,sun,Fall
2015-05-11,0.0,13.9,10.0,2.5,fog,Fall
2015-05-12,4.3,15.6,10.6,3.3,rain,Fall
2015-05-13,4.1,12.2,10.0,2.8,rain,Fall
2015-05-14,0.3,17.8,9.4,2.0,rain,Fall
2015-05-15,0.0,20.0,9.4,2.8,fog,Fall
2015-05-16,0.0,15.6,11.1,3.0,sun,Fall
2015-05-17,0.0,19.4,10.6,2.1,sun,Fall
2015-05-18,0.0,25.6,12.2,3.0,sun,Fall
2015-05-19,0.0,21.7,11.7,2.6,sun,Fall
2015-05-20,0.0,23.3,10.6,1.8,fog,Fall
2015-05-21,0.0,25.6,11.7,2.1,sun,Fall
2015-05-22,0.0,16.7,11.7,3.7,sun,Fall
2015-05-23,0.0,16.1,11.7,2.6,sun,Fall
2015-05-24,0.0,17.8,11.1,2.7,sun,Fall
2015-05-25,0.0,15.6,11.1,2.7,sun,Fall
2015-05-26,0.0,21.7,11.7,2.1,sun,Fall
2015-05-27,0.0,24.4,11.7,1.8,sun,Fall
2015-05-28,0.0,27.8,12.2,2.1,sun,Fall
2015-05-29,0.0,26.1,12.8,2.5,sun,Fall
2015-05-30,0.0,22.8,10.0,2.5,sun,Fall
2015-05-31,0.0,25.0,11.7,2.2,sun,
